# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
  92 2.3633822712e-10 8.0693589156e-12 1.1375269877e-12
  93 2.3929975766e-10 7.8518161268e-12 1.1148279379e-12
  94 2.4228243978e-10 7.6407502545e-12 1.0926127326e-12
  95 2.4528618518e-10 7.4360755386e-12 1.0708609167e-12
  96 2.4831100618e-10 7.2378896802e-12 1.0495826790e-12
  97 2.5135680681e-10 7.0462378399e-12 1.0287830628e-12
  98 2.5442337803e-10 6.8611105803e-12 1.0084617589e-12
  99 2.5751039298e-10 6.6824418072e-12 9.8861289991e-13
 100 2.6061740219e-10 6.5101067118e-12 9.6922485355e-13
 101 2.6374382882e-10 6.3439197123e-12 9.5028001640e-13
 102 2.6688896388e-10 6.1836323958e-12 9.3175460758e-13
 103 2.7005196148e-10 6.0289314599e-12 9.1361846234e-13
 104 2.7323183403e-10 5.8794366547e-12 8.9583482581e-13
 105 2.7642744748e-10 5.7346987248e-12 8.7836014656e-13
 106 2.7963751657e-10 5.5941973504e-12 8.6114387032e-13
 107 2.8286084985e-10 5.4574605549e-12 8.4414299964e-13
 108 2.8609713174e-10 5.3244452034e-12 8.2736839360e-13
 109 2.8934623483e-10 5.1952029032e-12 8.1084419644e-13
 110 2.9260797712e-10 5.0697622199e-12 7.9459356284e-13
 111 2.9588211980e-10 4.9481278798e-12 7.7863860491e-13
 112 2.9916836512e-10 4.8302799737e-12 7.6300033919e-13
 113 3.0246635416e-10 4.7161731596e-12 7.4769863361e-13
 114 3.0577566471e-10 4.6057358661e-12 7.3275215455e-13
 115 3.0909580905e-10 4.4988694954e-12 7.1817831373e-13
 116 3.1242623180e-10 4.3954476262e-12 7.0399321531e-13
 117 3.1576630774e-10 4.2953152172e-12 6.9021160278e-13
 118 3.1911533961e-10 4.1982878100e-12 6.7684680603e-13
 119 3.2247255596e-10 4.1041507323e-12 6.6391068827e-13
 120 3.2583710895e-10 4.0126583009e-12 6.5141359309e-13
 121 3.2920807221e-10 3.9235330248e-12 6.3936429138e-13
 122 3.3258454564e-10 3.8365276824e-12 6.2776849606e-13
 123 3.3596598835e-10 3.7516213912e-12 6.1662432413e-13
 124 3.3935192035e-10 3.6688448463e-12 6.0592620682e-13
 125 3.4274181770e-10 3.5882191885e-12 5.9566621110e-13
 126 3.4613511119e-10 3.5097557105e-12 5.8583397518e-13
 127 3.4953118500e-10 3.4334555628e-12 5.7641664405e-13
 128 3.5292937539e-10 3.3593094591e-12 5.6739880504e-13
 129 3.5632896940e-10 3.2872973831e-12 5.5876242334e-13
 130 3.5972920349e-10 3.2173882935e-12 5.5048677752e-13
 131 3.6312926224e-10 3.1495398306e-12 5.4254839511e-13
 132 3.6652827704e-10 3.0836980217e-12 5.3492098810e-13
 133 3.6992532473e-10 3.0197969873e-12 5.2757538846e-13
 134 3.7331942635e-10 2.9577586470e-12 5.2047948375e-13
 135 3.7670954572e-10 2.8974924253e-12 5.1359815256e-13
 136 3.8009458823e-10 2.8388949575e-12 5.0689320012e-13
 137 3.8347339941e-10 2.7818497956e-12 5.0032329380e-13
 138 3.8684476371e-10 2.7262271144e-12 4.9384389866e-13
 139 3.9020740309e-10 2.6718834171e-12 4.8740721299e-13
 140 3.9356010842e-10 2.6186923868e-12 4.8097208676e-13
 141 3.9690215114e-10 2.5666415881e-12 4.7453504697e-13
 142 4.0023291101e-10 2.5157450509e-12 4.6810230820e-13
 143 4.0355174664e-10 2.4660129009e-12 4.6168006807e-13
 144 4.0685799499e-10 2.4174512544e-12 4.5527450348e-13
 145 4.1015097089e-10 2.3700621143e-12 4.4889176685e-13
 146 4.1342996648e-10 2.3238432646e-12 4.4253798228e-13
 147 4.1669425070e-10 2.2787881658e-12 4.3621924185e-13
 148 4.1994306884e-10 2.2348858507e-12 4.2994160178e-13
 149 4.2317564192e-10 2.1921208187e-12 4.2371107870e-13
 150 4.2639116625e-10 2.1504729319e-12 4.1753364583e-13
 151 4.2958881292e-10 2.1099173098e-12 4.1141522925e-13
 152 4.3276772723e-10 2.0704242249e-12 4.0536170406e-13
 153 4.3592702823e-10 2.0319589975e-12 3.9937889068e-13
 154 4.3906580815e-10 1.9944818914e-12 3.9347255099e-13
 155 4.4218313196e-10 1.9579480089e-12 3.8764838463e-13
 156 4.4527803678e-10 1.9223071861e-12 3.8191202517e-13
 157 4.4834953142e-10 1.8875038880e-12 3.7626903636e-13
 158 4.5139659583e-10 1.8534771039e-12 3.7072490831e-13
 159 4.5441818061e-10 1.8201602427e-12 3.6528505379e-13
 160 4.5741327406e-10 1.7874951340e-12 3.5995416051e-13
 161 4.6038111114e-10 1.7554756516e-12 3.5473419134e-13
 162 4.6332098220e-10 1.7241077893e-12 3.4962619816e-13
 163 4.6623216691e-10 1.6933958651e-12 3.4463094299e-13
 164 4.6911393401e-10 1.6633424824e-12 3.3974889122e-13
 165 4.7196554115e-10 1.6339484903e-12 3.3498020481e-13
 166 4.7478623467e-10 1.6052129453e-12 3.3032473556e-13
 167 4.7757524940e-10 1.5771330720e-12 3.2578201829e-13
 168 4.8033180848e-10 1.5497042237e-12 3.2135126409e-13
 169 4.8305512313e-10 1.5229198440e-12 3.1703135351e-13
 170 4.8574439248e-10 1.4967714269e-12 3.1282082985e-13
 171 4.8839880335e-10 1.4712484788e-12 3.0871789229e-13
 172 4.9101753006e-10 1.4463384785e-12 3.0472038919e-13
 173 4.9359973422e-10 1.4220268386e-12 3.0082581130e-13
 174 4.9614456455e-10 1.3982968666e-12 2.9703128493e-13
 175 4.9865115666e-10 1.3751297253e-12 2.9333356524e-13
 176 5.0111863286e-10 1.3525043944e-12 2.8972902943e-13
 177 5.0354610195e-10 1.3303976310e-12 2.8621366997e-13
 178 5.0593265904e-10 1.3087839307e-12 2.8278308781e-13
 179 5.0827738533e-10 1.2876354886e-12 2.7943248564e-13
 180 5.1057934792e-10 1.2669221600e-12 2.7615666106e-13
 181 5.1283759963e-10 1.2466114219e-12 2.7294999985e-13
 182 5.1505117874e-10 1.2266683332e-12 2.6980646918e-13
 183 5.1721917463e-10 1.2070627086e-12 2.6672065408e-13
 184 5.1934093051e-10 1.1877913467e-12 2.6369097174e-13
 185 5.2141585620e-10 1.1688574693e-12 2.6071669620e-13
 186 5.2344336378e-10 1.1502636521e-12 2.5779693462e-13
 187 5.2542286764e-10 1.1320118110e-12 2.5493062423e-13
 188 5.2735378452e-10 1.1141031893e-12 2.5211652927e-13
 189 5.2923553355e-10 1.0965383440e-12 2.4935323794e-13
 190 5.3106753625e-10 1.0793171326e-12 2.4663915934e-13
 191 5.3284921660e-10 1.0624386997e-12 2.4397252038e-13
 192 5.3458000107e-10 1.0459014635e-12 2.4135136276e-13
 193 5.3625931865e-10 1.0297031027e-12 2.3877353992e-13
 194 5.3788660087e-10 1.0138405432e-12 2.3623671392e-13
 195 5.3946128185e-10 9.9830994444e-13 2.3373835244e-13
 196 5.4098279834e-10 9.8310668627e-13 2.3127572571e-13
 197 5.4245058975e-10 9.6822535556e-13 2.2884590342e-13
 198 5.4386409816e-10 9.5365973289e-13 2.2644575170e-13
 199 5.4522276840e-10 9.3940277912e-13 2.2407193005e-13
 200 5.4652604805e-10 9.2544662213e-13 2.2172088825e-13
 201 5.4777338747e-10 9.1178254340e-13 2.1938886336e-13
 202 5.4896423988e-10 8.9840096472e-13 2.1707187661e-13
 203 5.5009806133e-10 8.8529143482e-13 2.1476573035e-13
 204 5.5117431081e-10 8.7244261603e-13 2.1246600504e-13
 205 5.5219245020e-10 8.5984227090e-13 2.1016805611e-13
 206 5.5315194438e-10 8.4747724892e-13 2.0786701096e-13
 207 5.5405226122e-10 8.3533347311e-13 2.0555776589e-13
 208 5.5489287161e-10 8.2339592672e-13 2.0323498304e-13
 209 5.5567324955e-10 8.1164863983e-13 2.0089308732e-13
 210 5.5639292398e-10 8.0007791822e-13 1.9852758375e-13
 211 5.5705163840e-10 7.8868230333e-13 1.9613911629e-13
 212 5.5764920228e-10 7.7746326887e-13 1.9372968114e-13
 213 5.5818544036e-10 7.6642203535e-13 1.9130133188e-13
 214 5.5866019282e-10 7.5555956553e-13 1.8885617995e-13
 215 5.5907331542e-10 7.4487655991e-13 1.8639639520e-13
 216 5.5942467975e-10 7.3437345207e-13 1.8392420636e-13
 217 5.5971417332e-10 7.2405040418e-13 1.8144190162e-13
 218 5.5994169981e-10 7.1390730241e-13 1.7895182907e-13
 219 5.6010717920e-10 7.0394375235e-13 1.7645639729e-13
 220 5.6021054795e-10 6.9415907446e-13 1.7395807583e-13
 221 5.6025175919e-10 6.8455229951e-13 1.7145939574e-13
 222 5.6023078288e-10 6.7512216399e-13 1.6896295007e-13
 223 5.6014760599e-10 6.6586710555e-13 1.6647139439e-13
 224 5.6000223270e-10 6.5678525845e-13 1.6398744735e-13
 225 5.5979468451e-10 6.4787444900e-13 1.6151389113e-13
 226 5.5952500051e-10 6.3913219096e-13 1.5905357199e-13
 227 5.5919323745e-10 6.3055568099e-13 1.5660940081e-13
 228 5.5879947001e-10 6.2214179410e-13 1.5418435357e-13
 229 5.5834379089e-10 6.1388707905e-13 1.5178147188e-13
 230 5.5782631107e-10 6.0578775383e-13 1.4940386350e-13
 231 5.5724715992e-10 5.9783970105e-13 1.4705470286e-13
 232 5.5660648539e-10 5.9003846339e-13 1.4473723156e-13
 233 5.5590445420e-10 5.8237923904e-13 1.4245475892e-13
 234 5.5514125202e-10 5.7485687714e-13 1.4021066246e-13
 235 5.5431708362e-10 5.6746587319e-13 1.3800838844e-13
 236 5.5343217306e-10 5.6020036450e-13 1.3585145237e-13
 237 5.5248676385e-10 5.5305412561e-13 1.3374343953e-13
 238 5.5148111916e-10 5.4602056377e-13 1.3168800550e-13
 239 5.5041552196e-10 5.3909271429e-13 1.2968887663e-13
 240 5.4929027520e-10 5.3226323606e-13 1.2774985062e-13
 241 5.4810570694e-10 5.2552586235e-13 1.2587400524e-13
 242 5.4686218557e-10 5.1887985919e-13 1.2406127108e-13
 243 5.4556010583e-10 5.1232582493e-13 1.2231071452e-13
 244 5.4419988415e-10 5.0586425727e-13 1.2062131542e-13
 245 5.4278195880e-10 4.9949555170e-13 1.1899196589e-13
 246 5.4130679013e-10 4.9321999990e-13 1.1742146927e-13
 247 5.3977486073e-10 4.8703778818e-13 1.1590853894e-13
 248 5.3818667558e-10 4.8094899593e-13 1.1445179729e-13
 249 5.3654276231e-10 4.7495359401e-13 1.1304977453e-13
 250 5.3484367132e-10 4.6905144321e-13 1.1170090764e-13
 251 5.3308997598e-10 4.6324229267e-13 1.1040353922e-13
 252 5.3128227285e-10 4.5752577829e-13 1.0915591638e-13
 253 5.2942118182e-10 4.5190142118e-13 1.0795618967e-13
 254 5.2750734632e-10 4.4636862609e-13 1.0680241191e-13
 255 5.2554143350e-10 4.4092667983e-13 1.0569253710e-13
 256 5.2352413442e-10 4.3557474969e-13 1.0462441934e-13
 257 5.2145616421e-10 4.3031188187e-13 1.0359581166e-13
 258 5.1933826230e-10 4.2513699994e-13 1.0260436497e-13
 259 5.1717119256e-10 4.2004890322e-13 1.0164762689e-13
 260 5.1495574352e-10 4.1504626526e-13 1.0072304067e-13
 261 5.1269272853e-10 4.1012763220e-13 9.9827944094e-14
 262 5.1038298595e-10 4.0529142129e-13 9.8959568322e-14
 263 5.0802737937e-10 4.0053591923e-13 9.8115036817e-14
 264 5.0562679774e-10 3.9585928065e-13 9.7291364214e-14
 265 5.0318215557e-10 3.9125952652e-13 9.6485455218e-14
 266 5.0069439317e-10 3.8673454260e-13 9.5694103484e-14
 267 4.9816447674e-10 3.8228207783e-13 9.4913990512e-14
 268 4.9559339865e-10 3.7789974278e-13 9.4141684528e-14
 269 4.9298217756e-10 3.7358500811e-13 9.3373639380e-14
 270 4.9033185862e-10 3.6933520293e-13 9.2606193420e-14
 271 4.8764351368e-10 3.6514751329e-13 9.1835568395e-14
 272 4.8491824145e-10 3.6101898056e-13 9.1057868334e-14
 273 4.8215716769e-10 3.5694649992e-13 9.0269078437e-14
 274 4.7936144540e-10 3.5292681871e-13 8.9465063962e-14
 275 4.7653225501e-10 3.4895653493e-13 8.8641569113e-14
 276 4.7367072764e-10 3.4503276330e-13 8.7795089523e-14
 277 4.7077771019e-10 3.4115517548e-13 8.6925542555e-14
 278 4.6785398833e-10 3.3732406364e-13 8.6033734661e-14
 279 4.6490036233e-10 3.3353968189e-13 8.5120500641e-14
 280 4.6191764716e-10 3.2980224572e-13 8.4186703901e-14
 281 4.5890667254e-10 3.2611193152e-13 8.3233236715e-14
 282 4.5586828301e-10 3.2246887603e-13 8.2261020481e-14
 283 4.5280333797e-10 3.1887317585e-13 8.1271005984e-14
 284 4.4971271179e-10 3.1532488685e-13 8.0264173651e-14
 285 4.4659729384e-10 3.1182402372e-13 7.9241533814e-14
 286 4.4345798854e-10 3.0837055941e-13 7.8204126969e-14
 287 4.4029571547e-10 3.0496442460e-13 7.7153024032e-14
 288 4.3711140942e-10 3.0160550719e-13 7.6089326601e-14
 289 4.3390602042e-10 2.9829365178e-13 7.5014167218e-14
 290 4.3068051386e-10 2.9502865914e-13 7.3928709620e-14
 291 4.2743587050e-10 2.9181028568e-13 7.2834149008e-14
 292 4.2417308656e-10 2.8863824294e-13 7.1731712299e-14
 293 4.2089317382e-10 2.8551219706e-13 7.0622658390e-14
 294 4.1759715959e-10 2.8243176825e-13 6.9508278413e-14
 295 4.1428608689e-10 2.7939653027e-13 6.8389896000e-14
 296 4.1096101443e-10 2.7640600992e-13 6.7268867537e-14
 297 4.0762301670e-10 2.7345968650e-13 6.6146582424e-14
 298 4.0427318404e-10 2.7055699129e-13 6.5024463339e-14
 299 4.0091262270e-10 2.6769730703e-13 6.3903966492e-14
 300 3.9754245492e-10 2.6487996740e-13 6.2786581885e-14
 301 3.9416381897e-10 2.6210425649e-13 6.1673833576e-14
 302 3.9077786921e-10 2.5936940826e-13 6.0567279932e-14
 303 3.8738577618e-10 2.5667460606e-13 5.9468513892e-14
 304 3.8398872667e-10 2.5401898207e-13 5.8379163225e-14
 305 3.8058792375e-10 2.5140161678e-13 5.7300890792e-14
 306 3.7718458685e-10 2.4882153848e-13 5.6235394800e-14
 307 3.7377995184e-10 2.4627772273e-13 5.5184409067e-14
 308 3.7037527107e-10 2.4376909185e-13 5.4149703277e-14
 309 3.6697181345e-10 2.4129451435e-13 5.3133083242e-14
 310 3.6357086450e-10 2.3885280446e-13 5.2136391160e-14
 311 3.6017372646e-10 2.3644272160e-13 5.1161505875e-14
 312 3.5678171827e-10 2.3406296982e-13 5.0210343135e-14
 313 3.5339617573e-10 2.3171219730e-13 4.9284855853e-14
 314 3.5001845147e-10 2.2938899583e-13 4.8387034366e-14
 315 3.4664991512e-10 2.2709190029e-13 4.7518906692e-14
 316 3.4329184184e-10 2.2481966515e-13 4.6682105261e-14
 317 3.3994507263e-10 2.2257210909e-13 4.5876544619e-14
 318 3.3661033859e-10 2.2034930807e-13 4.5101683640e-14
 319 3.3328837094e-10 2.1815132158e-13 4.4356953339e-14
 320 3.2997990090e-10 2.1597819247e-13 4.3641756610e-14
 321 3.2668565966e-10 2.1382994672e-13 4.2955467968e-14
 322 3.2340637828e-10 2.1170659327e-13 4.2297433286e-14
 323 3.2014278765e-10 2.0960812384e-13 4.1666969539e-14
 324 3.1689561839e-10 2.0753451272e-13 4.1063364541e-14
 325 3.1366560079e-10 2.0548571658e-13 4.0485876683e-14
 326 3.1045346478e-10 2.0346167428e-13 3.9933734679e-14
 327 3.0725993979e-10 2.0146230670e-13 3.9406137302e-14
 328 3.0408575475e-10 1.9948751650e-13 3.8902253123e-14
 329 3.0093163796e-10 1.9753718797e-13 3.8421220254e-14
 330 2.9779831709e-10 1.9561118683e-13 3.7962146084e-14
 331 2.9468651904e-10 1.9370936004e-13 3.7524107026e-14
 332 2.9159696991e-10 1.9183153559e-13 3.7106148248e-14
 333 2.8853039493e-10 1.8997752232e-13 3.6707283420e-14
 334 2.8548751838e-10 1.8814710972e-13 3.6326494449e-14
 335 2.8246906355e-10 1.8634006778e-13 3.5962731224e-14
 336 2.7947575261e-10 1.8455614674e-13 3.5614911351e-14
 337 2.7650830659e-10 1.8279507692e-13 3.5281919896e-14
 338 2.7356744533e-10 1.8105656855e-13 3.4962609124e-14
 339 2.7065388733e-10 1.7934031154e-13 3.4655798240e-14
 340 2.6776834978e-10 1.7764597534e-13 3.4360273127e-14
 341 2.6491154840e-10 1.7597320868e-13 3.4074786087e-14
 342 2.6208419745e-10 1.7432163943e-13 3.3798055583e-14
 343 2.5928700960e-10 1.7269087442e-13 3.3528765973e-14
 344 2.5652069589e-10 1.7108049917e-13 3.3265567258e-14
 345 2.5378596567e-10 1.6949007780e-13 3.3007074816e-14
 346 2.5108352650e-10 1.6791915276e-13 3.2751869143e-14
 347 2.4841408411e-10 1.6636724468e-13 3.2498495596e-14
 348 2.4577834231e-10 1.6483385215e-13 3.2245464129e-14
 349 2.4317700294e-10 1.6331845156e-13 3.1991249036e-14
 350 2.4061076579e-10 1.6182049689e-13 3.1734288688e-14
 351 2.3808032853e-10 1.6033941952e-13 3.1472985276e-14
 352 2.3558638665e-10 1.5887462802e-13 3.1205704549e-14
 353 2.3312963336e-10 1.5742550801e-13 3.0930775556e-14
 354 2.3071075959e-10 1.5599142191e-13 3.0646490382e-14
 355 2.2833045383e-10 1.5457170878e-13 3.0351103893e-14
 356 2.2598934023e-10 1.5316580737e-13 3.0043209441e-14
 357 2.2368779001e-10 1.5177363120e-13 2.9722883409e-14
 358 2.2142610219e-10 1.5039520839e-13 2.9390586776e-14
 359 2.1920456473e-10 1.4903055970e-13 2.9046793447e-14
 360 2.1702345431e-10 1.4767969844e-13 2.8691990352e-14
 361 2.1488303630e-10 1.4634263045e-13 2.8326677538e-14
 362 2.1278356458e-10 1.4501935398e-13 2.7951368263e-14
 363 2.1072528141e-10 1.4370985963e-13 2.7566589094e-14
 364 2.0870841733e-10 1.4241413025e-13 2.7172880001e-14
 365 2.0673319101e-10 1.4113214091e-13 2.6770794449e-14
 366 2.0479980914e-10 1.3986385879e-13 2.6360899499e-14
 367 2.0290846627e-10 1.3860924311e-13 2.5943775897e-14
 368 2.0105934473e-10 1.3736824508e-13 2.5520018171e-14
 369 1.9925261446e-10 1.3614080777e-13 2.5090234728e-14
 370 1.9748843291e-10 1.3492686611e-13 2.4655047945e-14
 371 1.9576694492e-10 1.3372634674e-13 2.4215094269e-14
 372 1.9408828253e-10 1.3253916799e-13 2.3771024306e-14
 373 1.9245256493e-10 1.3136523976e-13 2.3323502921e-14
 374 1.9085989831e-10 1.3020446349e-13 2.2873209331e-14
 375 1.8931037570e-10 1.2905673206e-13 2.2420837199e-14
 376 1.8780407688e-10 1.2792192971e-13 2.1967094732e-14
 377 1.8634106822e-10 1.2679993196e-13 2.1512704770e-14
 378 1.8492140259e-10 1.2569060558e-13 2.1058404888e-14
 379 1.8354511921e-10 1.2459380845e-13 2.0604947488e-14
 380 1.8221224352e-10 1.2350938953e-13 2.0153099891e-14
 381 1.8092278707e-10 1.2243718876e-13 1.9703644437e-14
 382 1.7967674736e-10 1.2137703702e-13 1.9257378576e-14
 383 1.7847410776e-10 1.2032875600e-13 1.8815114968e-14
 384 1.7731483734e-10 1.1929215818e-13 1.8377681569e-14
 385 1.7619889075e-10 1.1826704671e-13 1.7945921736e-14
 386 1.7512620813e-10 1.1725321536e-13 1.7520694315e-14
 387 1.7409671493e-10 1.1625044844e-13 1.7102873740e-14
 388 1.7311032181e-10 1.1525852074e-13 1.6693350125e-14
 389 1.7216692452e-10 1.1427719740e-13 1.6293029361e-14
 390 1.7126640375e-10 1.1330623392e-13 1.5902833210e-14
 391 1.7040862502e-10 1.1234537599e-13 1.5523699401e-14
 392 1.6959343854e-10 1.1139435950e-13 1.5156581721e-14
 393 1.6882067911e-10 1.1045291041e-13 1.4802450118e-14
 394 1.6809016594e-10 1.0952074469e-13 1.4462290786e-14
 395 1.6740170259e-10 1.0859756825e-13 1.4137106269e-14
 396 1.6675508337e-10 1.0768312944e-13 1.3827686044e-14
 397 1.6615011337e-10 1.0677737873e-13 1.3533908829e-14
 398 1.6558658891e-10 1.0588031476e-13 1.3255414888e-14
 399 1.6506429095e-10 1.0499193220e-13 1.2991833146e-14
 400 1.6458298492e-10 1.0411222177e-13 1.2742781110e-14
 401 1.6414242064e-10 1.0324117018e-13 1.2507864788e-14
 402 1.6374233216e-10 1.0237876009e-13 1.2286678610e-14
 403 1.6338243765e-10 1.0152497007e-13 1.2078805344e-14
 404 1.6306243928e-10 1.0067977460e-13 1.1883816020e-14
 405 1.6278202312e-10 9.9843144006e-14 1.1701269851e-14
 406 1.6254085896e-10 9.9015044419e-14 1.1530714144e-14
 407 1.6233860025e-10 9.8195437759e-14 1.1371684232e-14
 408 1.6217488394e-10 9.7384281691e-14 1.1223703384e-14
 409 1.6204933037e-10 9.6581529591e-14 1.1086282729e-14
 410 1.6196154314e-10 9.5787130510e-14 1.0958921176e-14
 411 1.6191110900e-10 9.5001029139e-14 1.0841105331e-14
 412 1.6189759773e-10 9.4223165775e-14 1.0732309420e-14
 413 1.6192056198e-10 9.3453476284e-14 1.0631995208e-14
 414 1.6197953721e-10 9.2691892067e-14 1.0539611916e-14
 415 1.6207404151e-10 9.1938340025e-14 1.0454596146e-14
 416 1.6220357551e-10 9.1192742525e-14 1.0376371796e-14
